Method,Target_Feature,Effect_Size,AUC_Mean,AUC_Std,Delta_AUC,Normalized_Delta,RSD_QC,RSD_Pat,AUC_Raw_Mean,RSD_QC_Raw
Raw (No Correction),0,0.0,0.5,0.12283795519834816,0.0,0.0,9.168907954552049,13.321485958446235,0.5,9.168907954552049
Raw (No Correction),1,0.0,0.49074074074074076,0.1348168498014911,0.0,0.0,33.77667483416764,27.2001881800077,0.49074074074074076,33.77667483416764
Raw (No Correction),2,0.0,0.4938271604938272,0.10620154650669911,0.0,0.0,11.816788244580854,14.045106684140643,0.4938271604938272,11.816788244580854
Raw (No Correction),3,0.0,0.47530864197530864,0.1344630920419257,0.0,0.0,14.581531813810592,17.30807878685231,0.47530864197530864,14.581531813810592
Raw (No Correction),4,0.0,0.5030864197530863,0.1573771454812588,0.0,0.0,8.4158085563581,11.726485058389748,0.5030864197530863,8.4158085563581
Raw (No Correction),5,0.0,0.48456790123456783,0.1310184276345131,0.0,0.0,18.620262298166132,18.17097509502193,0.48456790123456783,18.620262298166132
Raw (No Correction),6,0.0,0.48765432098765427,0.13167116671420706,0.0,0.0,34.90798298314577,31.850863295720984,0.48765432098765427,34.90798298314577
Raw (No Correction),7,0.0,0.48765432098765427,0.12635487339789334,0.0,0.0,30.510963333447922,40.84511484745019,0.48765432098765427,30.510963333447922
Raw (No Correction),8,0.0,0.48456790123456783,0.12770469670109386,0.0,0.0,25.9828561574089,25.566204173712638,0.48456790123456783,25.9828561574089
Raw (No Correction),9,0.0,0.48148148148148145,0.12962962962962965,0.0,0.0,26.47473479327075,25.90688059330617,0.48148148148148145,26.47473479327075
Raw (No Correction),10,0.0,0.5246913580246914,0.12590171638500705,0.0,0.0,15.588235109929796,20.79565773074866,0.5246913580246914,15.588235109929796
Raw (No Correction),11,0.0,0.5061728395061729,0.1359426885527484,0.0,0.0,40.44292499063709,35.72791177666232,0.5061728395061729,40.44292499063709
Raw (No Correction),12,0.0,0.5061728395061729,0.11913740163962211,0.0,0.0,19.679643475519555,20.786767292384916,0.5061728395061729,19.679643475519555
Raw (No Correction),13,0.0,0.4938271604938271,0.13145394715461023,0.0,0.0,39.63121784075345,37.6737688926326,0.4938271604938271,39.63121784075345
Raw (No Correction),14,0.0,0.49074074074074076,0.1410328352937761,0.0,0.0,28.428162006447895,27.060346874658016,0.49074074074074076,28.428162006447895
Raw (No Correction),15,0.0,0.48765432098765427,0.12635487339789334,0.0,0.0,30.48030659946083,28.34870988552181,0.48765432098765427,30.48030659946083
Raw (No Correction),16,0.0,0.4938271604938271,0.13339619003070563,0.0,0.0,35.6406719934226,35.6410882484913,0.4938271604938271,35.6406719934226
Raw (No Correction),17,0.0,0.48765432098765427,0.13167116671420706,0.0,0.0,23.1023523310738,21.136555239137312,0.48765432098765427,23.1023523310738
Raw (No Correction),18,0.0,0.5061728395061729,0.11695861309565687,0.0,0.0,51.931989871637775,49.99421109006438,0.5061728395061729,51.931989871637775
Raw (No Correction),19,0.0,0.478395061728395,0.13275193313337388,0.0,0.0,61.38349961491213,59.20676288912728,0.478395061728395,61.38349961491213
Raw (No Correction),20,0.0,0.48148148148148145,0.13289537124451226,0.0,0.0,23.27253935146643,21.52005228648428,0.48148148148148145,23.27253935146643
Raw (No Correction),21,0.0,0.48456790123456783,0.13101842763451313,0.0,0.0,57.027462171254314,51.487333564104276,0.48456790123456783,57.027462171254314
Raw (No Correction),22,0.0,0.4907407407407407,0.11188005531106086,0.0,0.0,23.062041349470633,23.654258052593658,0.4907407407407407,23.062041349470633
Raw (No Correction),23,0.0,0.48456790123456783,0.1398798665879588,0.0,0.0,39.89587676082198,43.34579867105911,0.48456790123456783,39.89587676082198
Raw (No Correction),24,0.0,0.48765432098765427,0.1249904736501024,0.0,0.0,28.89041707997307,29.953857679566138,0.48765432098765427,28.89041707997307
Raw (No Correction),25,0.0,0.4938271604938271,0.13531055689372207,0.0,0.0,33.99107814630658,32.071633091593846,0.4938271604938271,33.99107814630658
Raw (No Correction),26,0.0,0.5061728395061729,0.11841559316821529,0.0,0.0,36.07572107612504,34.56343029919427,0.5061728395061729,36.07572107612504
Raw (No Correction),27,0.0,0.48456790123456783,0.12970309499660926,0.0,0.0,59.97262674574255,62.13950937496182,0.48456790123456783,59.97262674574255
Raw (No Correction),28,0.0,0.5030864197530864,0.11597712486454283,0.0,0.0,56.456872012447654,43.35942927602742,0.5030864197530864,56.456872012447654
Raw (No Correction),29,0.0,0.478395061728395,0.13145394715461023,0.0,0.0,49.61038194674126,41.76585107625033,0.478395061728395,49.61038194674126
Raw (No Correction),30,0.0,0.4722222222222222,0.12213801813215668,0.0,0.0,128.8599398887483,110.53447084227079,0.4722222222222222,128.8599398887483
